DRUGCOMB_NAME,GDSC_NAME
CAOV3,CAOV-3
ES2,ES-2
HCT116,HCT-116
HT144,HT-144
HT29,HT-29
MDAMB436,MDA-MB-436
NCIH1650,NCI-H1650
NCIH2122,NCI-H2122
NCIH23,NCI-H23
NCIH520,NCI-H520
OCUBM,OCUB-M
OV90,OV-90
OVCAR3,OVCAR-3
PA1,PA-1
RPMI7951,RPMI-7951
SKMEL30,SK-MEL-30
SKMES1,SK-MES-1
SW-620,SW620
T-47D,T47D
UACC62,UACC-62
UWB1289,UWB1.289
IGROV1,IGROV-1
SNB-75,SNB75
SF-268,SF268
SF-539,SF539
HCC-2998,HCC2998
LOX IMVI,LOXIMVI
MDA-MB-435,MDA-MB-453
RXF 393,RXF393
TK-10,TK10
COLO 205,COLO-205
SF-295,SF295
A-673,A673
EW-8,EW-18
A-375,A375
