GENE,MEAN_ABS_SHAP
cnaPANCAN381,0.048367146
cnaPANCAN312,0.046896864
cnaPANCAN338,0.035229072
TP53_mut,0.02587043
cnaPANCAN137,0.024224533
cnaPANCAN215,0.021352798
ACVR2A_mut,0.021080883
cnaPANCAN386,0.020891678
cnaPANCAN356,0.02020028
cnaPANCAN368,0.019912627
EP300_mut,0.014814475
cnaPANCAN120,0.014810025
PTEN_mut,0.014530499
cnaPANCAN212,0.013879286
cnaPANCAN250,0.0138582485
cnaPANCAN339,0.013151722
BRAF_mut,0.012981263
cnaPANCAN244,0.011961099
KRAS_mut,0.01127432
cnaPANCAN235,0.011144617
cnaPANCAN26,0.010950447
cnaPANCAN91,0.010894054
SMARCA4_mut,0.010733983
cnaPANCAN88,0.010399397
cnaPANCAN127,0.010325904
cnaPANCAN146,0.009900098
PIK3CA_mut,0.009711939
cnaPANCAN230,0.009613978
cnaPANCAN121,0.009576088
cnaPANCAN385,0.009564031
cnaPANCAN377,0.009216284
cnaPANCAN343,0.009114497
cnaPANCAN367,0.009089525
cnaPANCAN144,0.0090101175
cnaPANCAN31,0.008619294
cnaPANCAN391,0.00851662
cnaPANCAN208,0.0084933285
cnaPANCAN257,0.008415594
cnaPANCAN75,0.008374539
cnaPANCAN130,0.008218992
NF1_mut,0.00818159
cnaPANCAN25,0.0077762348
cnaPANCAN92,0.007333404
cnaPANCAN340,0.007317476
cnaPANCAN93,0.0064443187
ARID1A_mut,0.006406812
cnaPANCAN334,0.0060478915
cnaPANCAN129,0.005811141
cnaPANCAN210,0.0057576867
cnaPANCAN117,0.0056481175
cnaPANCAN311,0.0054953094
cnaPANCAN387,0.005480058
cnaPANCAN205,0.005283856
cnaPANCAN30,0.0052383095
AKAP9_mut,0.0052063633
cnaPANCAN177,0.005138451
cnaPANCAN362,0.005081882
cnaPANCAN247,0.005014098
cnaPANCAN302,0.00492667
cnaPANCAN214,0.0047878115
cnaPANCAN2,0.004319445
cnaPANCAN246,0.0042472174
cnaPANCAN60,0.0038548908
cnaPANCAN94,0.0037174067
cnaPANCAN35,0.0035794026
cnaPANCAN243,0.0035042267
cnaPANCAN336,0.0034712926
cnaPANCAN164,0.0033776
cnaPANCAN44,0.0032990205
cnaPANCAN335,0.003281929
cnaPANCAN86,0.0032188802
APC_mut,0.0030429983
cnaPANCAN23,0.0030362653
cnaPANCAN363,0.002808998
cnaPANCAN341,0.0027812761
cnaPANCAN337,0.0026400571
cnaPANCAN389,0.0024169628
cnaPANCAN59,0.0023985533
cnaPANCAN24,0.0018246212
cnaPANCAN390,0.0018226271
cnaPANCAN22,0.0016344208
cnaPANCAN32,0.0015864822
MLL2_mut,0.0015650262
cnaPANCAN388,0.0014987201
cnaPANCAN176,0.0014036212
cnaPANCAN342,0.0013386717
cnaPANCAN53,0.001192875
cnaPANCAN54,0.0008496709
cnaPANCAN245,0.0007279641
cnaPANCAN366,0.00062391366
cnaPANCAN364,0.0005180959
cnaPANCAN248,0.00034836412
cnaPANCAN33,0.0
cnaPANCAN55,0.0
cnaPANCAN89,0.0
cnaPANCAN90,0.0
cnaPANCAN98,0.0
cnaPANCAN97,0.0
cnaPANCAN96,0.0
cnaPANCAN95,0.0
