GENE,SHAP_SCORE
CNAPANCAN381,0.048367146
CNAPANCAN312,0.046896864
CNAPANCAN338,0.035229072
TP53,0.02587043
CNAPANCAN137,0.024224533
CNAPANCAN215,0.021352798
ACVR2A,0.021080883
CNAPANCAN386,0.020891678
CNAPANCAN356,0.02020028
CNAPANCAN368,0.019912627
EP300,0.014814475
CNAPANCAN120,0.014810025
PTEN,0.014530499
CNAPANCAN212,0.013879286
CNAPANCAN250,0.0138582485
CNAPANCAN339,0.013151722
BRAF,0.012981263
CNAPANCAN244,0.011961099
KRAS,0.01127432
CNAPANCAN235,0.011144617
CNAPANCAN26,0.010950447
CNAPANCAN91,0.010894054
SMARCA4,0.010733983
CNAPANCAN88,0.010399397
CNAPANCAN127,0.010325904
CNAPANCAN146,0.009900098
PIK3CA,0.009711939
CNAPANCAN230,0.009613978
CNAPANCAN121,0.009576088
CNAPANCAN385,0.009564031
CNAPANCAN377,0.009216284
CNAPANCAN343,0.009114497
CNAPANCAN367,0.009089525
CNAPANCAN144,0.0090101175
CNAPANCAN31,0.008619294
CNAPANCAN391,0.00851662
CNAPANCAN208,0.0084933285
CNAPANCAN257,0.008415594
CNAPANCAN75,0.008374539
CNAPANCAN130,0.008218992
NF1,0.00818159
CNAPANCAN25,0.0077762348
CNAPANCAN92,0.007333404
CNAPANCAN340,0.007317476
CNAPANCAN93,0.0064443187
ARID1A,0.006406812
CNAPANCAN334,0.0060478915
CNAPANCAN129,0.005811141
CNAPANCAN210,0.0057576867
CNAPANCAN117,0.0056481175
CNAPANCAN311,0.0054953094
CNAPANCAN387,0.005480058
CNAPANCAN205,0.005283856
CNAPANCAN30,0.0052383095
AKAP9,0.0052063633
CNAPANCAN177,0.005138451
CNAPANCAN362,0.005081882
CNAPANCAN247,0.005014098
CNAPANCAN302,0.00492667
CNAPANCAN214,0.0047878115
CNAPANCAN2,0.004319445
CNAPANCAN246,0.0042472174
CNAPANCAN60,0.0038548908
CNAPANCAN94,0.0037174067
CNAPANCAN35,0.0035794026
CNAPANCAN243,0.0035042267
CNAPANCAN336,0.0034712926
CNAPANCAN164,0.0033776
CNAPANCAN44,0.0032990205
CNAPANCAN335,0.003281929
CNAPANCAN86,0.0032188802
APC,0.0030429983
CNAPANCAN23,0.0030362653
CNAPANCAN363,0.002808998
CNAPANCAN341,0.0027812761
CNAPANCAN337,0.0026400571
CNAPANCAN389,0.0024169628
CNAPANCAN59,0.0023985533
CNAPANCAN24,0.0018246212
CNAPANCAN390,0.0018226271
CNAPANCAN22,0.0016344208
CNAPANCAN32,0.0015864822
MLL2,0.0015650262
CNAPANCAN388,0.0014987201
CNAPANCAN176,0.0014036212
CNAPANCAN342,0.0013386717
CNAPANCAN53,0.001192875
CNAPANCAN54,0.0008496709
CNAPANCAN245,0.0007279641
CNAPANCAN366,0.00062391366
CNAPANCAN364,0.0005180959
CNAPANCAN248,0.00034836412
CNAPANCAN33,0.0
CNAPANCAN55,0.0
CNAPANCAN89,0.0
CNAPANCAN90,0.0
CNAPANCAN98,0.0
CNAPANCAN97,0.0
CNAPANCAN96,0.0
CNAPANCAN95,0.0
