stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000256078,9606.ENSP00000263253,KRAS,EP300,9606,0.757,0,0,0,0.068,0.0,0.4,0.6
9606.ENSP00000256078,9606.ENSP00000320485,KRAS,ARID1A,9606,0.873,0,0,0,0.049,0.068,0.0,0.869
9606.ENSP00000256078,9606.ENSP00000361021,KRAS,PTEN,9606,0.936,0,0,0,0.078,0.099,0.0,0.93
9606.ENSP00000256078,9606.ENSP00000269305,KRAS,TP53,9606,0.949,0,0,0,0.074,0.0,0.0,0.947
9606.ENSP00000256078,9606.ENSP00000351015,KRAS,NF1,9606,0.996,0,0,0,0.064,0.543,0.9,0.925
9606.ENSP00000256078,9606.ENSP00000263967,KRAS,PIK3CA,9606,0.998,0,0,0,0.143,0.627,0.9,0.951
9606.ENSP00000256078,9606.ENSP00000419060,KRAS,BRAF,9606,0.999,0,0,0,0.081,0.87,0.9,0.973
9606.ENSP00000263253,9606.ENSP00000320485,EP300,ARID1A,9606,0.855,0,0,0,0.416,0.094,0.0,0.748
9606.ENSP00000263253,9606.ENSP00000343896,EP300,SMARCA4,9606,0.969,0,0,0,0.085,0.328,0.0,0.955
9606.ENSP00000263253,9606.ENSP00000269305,EP300,TP53,9606,0.999,0,0,0,0.049,0.999,0.9,0.998
9606.ENSP00000263967,9606.ENSP00000351015,PIK3CA,NF1,9606,0.793,0,0,0,0.06,0.0,0.0,0.789
9606.ENSP00000263967,9606.ENSP00000320485,PIK3CA,ARID1A,9606,0.913,0,0,0,0.067,0.0,0.0,0.911
9606.ENSP00000263967,9606.ENSP00000269305,PIK3CA,TP53,9606,0.941,0,0,0,0.0,0.292,0.0,0.92
9606.ENSP00000263967,9606.ENSP00000419060,PIK3CA,BRAF,9606,0.947,0,0,0,0.128,0.19,0.0,0.931
9606.ENSP00000263967,9606.ENSP00000361021,PIK3CA,PTEN,9606,0.995,0,0,0,0.112,0.134,0.9,0.949
9606.ENSP00000269305,9606.ENSP00000351015,TP53,NF1,9606,0.88,0,0,0,0.0,0.0,0.0,0.88
9606.ENSP00000269305,9606.ENSP00000419060,TP53,BRAF,9606,0.887,0,0,0,0.076,0.0,0.0,0.883
9606.ENSP00000269305,9606.ENSP00000320485,TP53,ARID1A,9606,0.961,0,0,0,0.067,0.292,0.0,0.945
9606.ENSP00000269305,9606.ENSP00000343896,TP53,SMARCA4,9606,0.993,0,0,0,0.049,0.822,0.0,0.964
9606.ENSP00000269305,9606.ENSP00000361021,TP53,PTEN,9606,0.999,0,0,0,0.067,0.748,0.9,0.968
9606.ENSP00000320485,9606.ENSP00000419060,ARID1A,BRAF,9606,0.702,0,0,0,0.049,0.056,0.0,0.695
9606.ENSP00000320485,9606.ENSP00000361021,ARID1A,PTEN,9606,0.743,0,0,0,0.057,0.073,0.0,0.729
9606.ENSP00000320485,9606.ENSP00000343896,ARID1A,SMARCA4,9606,0.999,0,0,0,0.25,0.998,0.9,0.996
9606.ENSP00000343896,9606.ENSP00000361021,SMARCA4,PTEN,9606,0.705,0,0,0,0.107,0.0,0.0,0.684
9606.ENSP00000343896,9606.ENSP00000351015,SMARCA4,NF1,9606,0.751,0,0,0,0.071,0.301,0.0,0.648
9606.ENSP00000351015,9606.ENSP00000361021,NF1,PTEN,9606,0.874,0,0,0,0.084,0.218,0.0,0.838
9606.ENSP00000351015,9606.ENSP00000419060,NF1,BRAF,9606,0.903,0,0,0,0.067,0.092,0.0,0.895
9606.ENSP00000361021,9606.ENSP00000419060,PTEN,BRAF,9606,0.943,0,0,0,0.094,0.206,0.0,0.927
